epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1654.84,0.89221,0.74244,1.05244,0.81132,0.80302,0.91211,0.6408,1.22921,1.10762,1.19479,0.000660045,0.000660045,0.000660045
43,1701.07,0.86966,0.74358,1.03919,0.90162,0.89002,0.9382,0.65849,1.18004,0.87984,1.17002,0.000649046,0.000649046,0.000649046
44,1751.62,0.8835,0.71626,1.05359,0.94639,0.84341,0.9236,0.62931,1.26982,0.93654,1.21919,0.000638047,0.000638047,0.000638047
45,1797.66,0.8733,0.7295,1.04799,0.91395,0.87823,0.92908,0.63399,1.25104,0.89981,1.2354,0.000627048,0.000627048,0.000627048
46,1835.57,0.86245,0.72702,1.06636,0.97912,0.86923,0.9334,0.64477,1.23323,0.84009,1.21038,0.000616049,0.000616049,0.000616049
47,1882.01,0.87223,0.71577,1.05328,0.96568,0.80522,0.91669,0.66365,1.19284,0.90089,1.2061,0.000605051,0.000605051,0.000605051
48,1929.87,0.83264,0.69817,1.03362,0.88945,0.87713,0.91185,0.64929,1.1892,0.89817,1.2044,0.000594052,0.000594052,0.000594052
49,1982.99,0.79815,0.68173,1.02433,0.9297,0.89778,0.92256,0.66401,1.15474,0.82627,1.17223,0.000583053,0.000583053,0.000583053
50,2022.66,0.80521,0.67255,1.01284,0.97292,0.89778,0.92799,0.6845,1.12747,0.86834,1.17979,0.000572054,0.000572054,0.000572054
51,2061.16,0.81051,0.68022,1.03354,0.96933,0.89999,0.94136,0.66843,1.1699,0.84267,1.16553,0.000561055,0.000561055,0.000561055
52,2098.81,0.80047,0.65214,1.01148,0.96978,0.93778,0.94106,0.66183,1.18064,0.75787,1.15602,0.000550056,0.000550056,0.000550056
53,2134.47,0.76682,0.64237,1.004,0.97672,0.93491,0.93906,0.65727,1.20777,0.77376,1.1694,0.000539057,0.000539057,0.000539057
54,2170.86,0.76954,0.6329,1.01042,0.92412,0.92148,0.90458,0.62715,1.23853,0.81652,1.18015,0.000528058,0.000528058,0.000528058
55,2207.1,0.80842,0.66308,1.0175,0.88011,0.89358,0.9022,0.63044,1.22845,0.90955,1.18153,0.000517059,0.000517059,0.000517059
56,2243.64,0.76842,0.65479,1.01005,0.86593,0.9048,0.90299,0.6369,1.17643,0.90385,1.20294,0.00050606,0.00050606,0.00050606
57,2281.53,0.80544,0.65603,1.02828,0.88399,0.92729,0.9064,0.62531,1.15433,0.83649,1.18306,0.000495062,0.000495062,0.000495062
58,2319.22,0.78197,0.65033,1.00559,0.81042,0.92724,0.90833,0.64653,1.13345,0.78619,1.13692,0.000484063,0.000484063,0.000484063
59,2355.34,0.71348,0.60256,0.9853,0.90869,0.77652,0.90938,0.62991,1.14195,0.83132,1.18502,0.000473064,0.000473064,0.000473064
60,2391.77,0.74869,0.62725,0.9951,0.90795,0.84573,0.92325,0.64025,1.1443,0.83665,1.18699,0.000462065,0.000462065,0.000462065
61,2428.2,0.72294,0.60278,0.99983,0.94356,0.84756,0.92035,0.64476,1.20978,0.86459,1.20585,0.000451066,0.000451066,0.000451066
62,2466,0.7806,0.65771,1.02365,0.91798,0.88815,0.92689,0.63776,1.19403,0.86606,1.22376,0.000440067,0.000440067,0.000440067
63,2502.86,0.70782,0.61004,0.98831,0.91843,0.88307,0.92691,0.63863,1.20034,0.84032,1.2372,0.000429068,0.000429068,0.000429068
64,2542.65,0.71667,0.62398,0.99675,0.90472,0.91424,0.93364,0.66925,1.18295,0.84395,1.21552,0.000418069,0.000418069,0.000418069
65,2580.26,0.76137,0.6262,1.01403,0.8855,0.91593,0.93588,0.67637,1.11308,0.82483,1.14376,0.00040707,0.00040707,0.00040707
66,2618.15,0.75735,0.62631,1.00089,0.85825,0.92447,0.93385,0.67996,1.09566,0.80673,1.11968,0.000396071,0.000396071,0.000396071
67,2655.3,0.73611,0.62162,0.99855,0.80306,0.93726,0.90674,0.65019,1.13024,0.82924,1.14175,0.000385073,0.000385073,0.000385073
68,2692.91,0.72015,0.58467,0.98844,0.82502,0.89908,0.90405,0.63863,1.15903,0.90131,1.14617,0.000374074,0.000374074,0.000374074
69,2730.19,0.71044,0.57586,0.97077,0.88835,0.87629,0.88286,0.6288,1.15917,0.92016,1.1426,0.000363075,0.000363075,0.000363075
70,2768.24,0.70461,0.57216,0.96934,0.89969,0.90828,0.90322,0.64927,1.18664,0.85321,1.18321,0.000352076,0.000352076,0.000352076
71,2805.26,0.71826,0.58075,0.99004,0.91865,0.93245,0.92142,0.67345,1.20402,0.78944,1.17444,0.000341077,0.000341077,0.000341077
72,2843.76,0.69538,0.5666,0.97073,0.98336,0.92519,0.93353,0.68269,1.19621,0.75285,1.16207,0.000330078,0.000330078,0.000330078
73,2880.99,0.68536,0.56358,0.97495,0.98174,0.92142,0.93349,0.66324,1.19275,0.76124,1.16919,0.000319079,0.000319079,0.000319079
74,2918.82,0.6964,0.5603,0.96649,0.97718,0.91994,0.93347,0.68432,1.156,0.76557,1.17261,0.00030808,0.00030808,0.00030808
75,2956.63,0.71976,0.59087,1.0003,0.97584,0.92043,0.93346,0.68906,1.14324,0.76333,1.16111,0.000297081,0.000297081,0.000297081
76,2994.44,0.68542,0.55502,0.9835,0.94509,0.92104,0.93345,0.68172,1.15873,0.78114,1.15149,0.000286083,0.000286083,0.000286083
77,3033.24,0.69456,0.57139,0.97754,0.96851,0.91179,0.93347,0.70088,1.14358,0.77275,1.16973,0.000275084,0.000275084,0.000275084
78,3072.25,0.71219,0.5714,0.98806,0.94646,0.92784,0.9412,0.66873,1.15375,0.75804,1.17754,0.000264085,0.000264085,0.000264085
79,3109.18,0.67453,0.55717,0.96127,0.93643,0.9228,0.94272,0.689,1.12213,0.7021,1.15031,0.000253086,0.000253086,0.000253086
80,3147.42,0.65067,0.54291,0.94846,0.90241,0.93778,0.94495,0.68075,1.11011,0.67343,1.15125,0.000242087,0.000242087,0.000242087
81,3185.23,0.65885,0.55288,0.97618,0.88448,0.92159,0.94568,0.67458,1.13142,0.70512,1.15789,0.000231088,0.000231088,0.000231088
82,3222.69,0.6285,0.52423,0.95554,0.87966,0.90945,0.93596,0.66523,1.16375,0.73557,1.15734,0.000220089,0.000220089,0.000220089
83,3260.34,0.65534,0.54773,0.97275,0.92643,0.85813,0.91846,0.6547,1.16784,0.75089,1.15361,0.00020909,0.00020909,0.00020909
84,3298.68,0.6481,0.54079,0.9635,0.83123,0.93778,0.9011,0.6558,1.14196,0.73661,1.13558,0.000198091,0.000198091,0.000198091
85,3337,0.67468,0.53594,0.96323,0.86365,0.93234,0.90085,0.67277,1.12896,0.72548,1.12262,0.000187092,0.000187092,0.000187092
86,3374.83,0.64042,0.51365,0.94414,0.87776,0.92876,0.90062,0.67692,1.12281,0.72473,1.11767,0.000176094,0.000176094,0.000176094
87,3414.14,0.66326,0.53904,0.96738,0.87474,0.92982,0.90063,0.66292,1.12688,0.72056,1.12135,0.000165095,0.000165095,0.000165095
88,3453.67,0.61948,0.49662,0.94033,0.87911,0.92908,0.90065,0.66419,1.12414,0.69184,1.12967,0.000154096,0.000154096,0.000154096
89,3492.53,0.63883,0.53609,0.95485,0.87443,0.93353,0.91715,0.68624,1.11826,0.66394,1.13655,0.000143097,0.000143097,0.000143097
90,3531.25,0.6433,0.53048,0.9589,0.95297,0.85844,0.91712,0.69182,1.11381,0.65013,1.13753,0.000132098,0.000132098,0.000132098
91,3571.55,0.54161,0.45268,0.889,0.92705,0.93226,0.93362,0.68753,1.1234,0.64181,1.14098,0.000121099,0.000121099,0.000121099
92,3620.42,0.50504,0.43,0.87191,0.94668,0.93433,0.93361,0.68219,1.13783,0.64312,1.14636,0.0001101,0.0001101,0.0001101
93,3664.62,0.50868,0.43464,0.85745,0.96731,0.93563,0.93361,0.686,1.14113,0.63872,1.15487,9.91012e-05,9.91012e-05,9.91012e-05
94,3702.04,0.50646,0.43296,0.87938,0.97649,0.93281,0.93361,0.68121,1.12663,0.64165,1.16575,8.81023e-05,8.81023e-05,8.81023e-05
95,3737.45,0.48582,0.42833,0.86543,0.9807,0.93385,0.93361,0.68999,1.11237,0.64477,1.16214,7.71034e-05,7.71034e-05,7.71034e-05
96,3774.19,0.48162,0.41905,0.86377,0.98147,0.93449,0.93361,0.68938,1.10623,0.65403,1.15415,6.61045e-05,6.61045e-05,6.61045e-05
97,3809.7,0.49681,0.42233,0.86739,0.9816,0.93778,0.93361,0.6814,1.11162,0.65297,1.14834,5.51056e-05,5.51056e-05,5.51056e-05
98,3845.22,0.48413,0.41258,0.86299,0.98058,0.9349,0.93362,0.69386,1.12318,0.65814,1.16038,4.41067e-05,4.41067e-05,4.41067e-05
99,3880.86,0.4633,0.40278,0.84536,0.97931,0.93192,0.93361,0.69507,1.12476,0.65611,1.16246,3.31078e-05,3.31078e-05,3.31078e-05
100,3916.5,0.48904,0.4156,0.87138,0.97654,0.93081,0.93362,0.69507,1.12312,0.65699,1.16189,2.21089e-05,2.21089e-05,2.21089e-05
